Date,Medium,Avg. order value
4/7/2014,cpc,307.45
4/7/2014,organic,108.95
4/8/2014,cpc,840.78
4/8/2014,organic,466.99
4/9/2014,cpc,259.52
4/9/2014,organic,208.76
4/10/2014,cpc,471.83
4/10/2014,organic,91.14
4/11/2014,cpc,349.91
4/11/2014,organic,285.8
4/12/2014,cpc,250.34
4/12/2014,organic,722.4
4/13/2014,cpc,173.41
4/13/2014,organic,167.6
4/14/2014,cpc,304.96
4/14/2014,organic,1079.53
4/15/2014,cpc,205.98
4/15/2014,organic,831.8
4/16/2014,cpc,242.47
4/16/2014,organic,222.47
4/17/2014,cpc,244.69
4/17/2014,organic,709.44
4/18/2014,cpc,349.4
4/18/2014,organic,281.6
4/19/2014,cpc,299.73
4/19/2014,organic,349.47
4/20/2014,cpc,185.23
4/20/2014,organic,247.99
4/21/2014,cpc,317.9
4/21/2014,organic,306.6
4/22/2014,cpc,306.86
4/22/2014,organic,306.61
4/23/2014,cpc,375.22
4/23/2014,organic,290.23
4/24/2014,cpc,223.4
4/24/2014,organic,291.86
4/25/2014,cpc,250.25
4/25/2014,organic,542.47
4/26/2014,cpc,283.07
4/26/2014,organic,169.21
4/27/2014,cpc,307.15
4/27/2014,organic,722.46
4/28/2014,cpc,414.2
4/28/2014,organic,377.68
4/29/2014,cpc,296.53
4/29/2014,organic,215.38
4/30/2014,cpc,314.12
4/30/2014,organic,207.41
5/1/2014,cpc,398.92
5/1/2014,organic,297.92
5/2/2014,cpc,485.99
5/2/2014,organic,250.37
5/3/2014,cpc,399.11
5/3/2014,organic,205.5
5/4/2014,cpc,306.07
5/4/2014,organic,295.84
5/5/2014,cpc,329.82
5/5/2014,organic,150.3
5/6/2014,cpc,414.22
5/6/2014,organic,356.7
5/7/2014,cpc,251.69
5/7/2014,organic,250.3
5/8/2014,cpc,316.37
5/8/2014,organic,320.54
5/9/2014,cpc,316.14
5/9/2014,organic,279.85
5/10/2014,cpc,354.02
5/10/2014,organic,292.45
5/11/2014,cpc,492.31
5/11/2014,organic,176.06
5/12/2014,cpc,377.06
5/12/2014,organic,368.08
5/13/2014,cpc,279.54
5/13/2014,organic,387.2
5/14/2014,cpc,828.66
5/14/2014,organic,151.77
5/15/2014,cpc,657.85
5/15/2014,organic,184.06
5/16/2014,cpc,308.69
5/16/2014,organic,750.31
5/17/2014,cpc,258.15
5/17/2014,organic,652.15
5/18/2014,cpc,158.16
5/18/2014,organic,184.97
5/19/2014,cpc,490.17
5/19/2014,organic,313.35
5/20/2014,cpc,482.98
5/20/2014,organic,296.05
5/21/2014,cpc,225.24
5/21/2014,organic,329.33
5/22/2014,cpc,283.7
5/22/2014,organic,368.51
5/23/2014,cpc,194.34
5/23/2014,organic,511.85
5/24/2014,cpc,384.85
5/24/2014,organic,179.49
5/25/2014,cpc,230
5/25/2014,organic,367.13
5/26/2014,cpc,346.34
5/26/2014,organic,402.95
5/27/2014,cpc,359.51
5/27/2014,organic,228.68
5/28/2014,cpc,560.68
5/28/2014,organic,1290.36
5/29/2014,cpc,222.76
5/29/2014,organic,101.78
5/30/2014,cpc,246.68
5/30/2014,organic,1070.34
5/31/2014,cpc,409.84
5/31/2014,organic,352.18
6/1/2014,cpc,309.03
6/1/2014,organic,242.57
6/2/2014,cpc,321.56
6/2/2014,organic,769.5
6/3/2014,cpc,334.32
